id,kind,segment,seta,group,chart,s,phi_deg,amplitude,section,width,psi
# Hand protractor on Scott 2020 Fig. 52 Typical Dione–Heliconius (Fleming 1960).
# Heliconiini outgroup, not a species-specific H. melpomene plate. φ=0 middorsal, 180 midventral, ±5°.
T1-XD2,seta,T1,XD2,XD,dorsal,,22,0.8,elliptic,,
T1-D1,seta,T1,D1,D,dorsal,,18,0.7,elliptic,,
T1-D2,seta,T1,D2,D,dorsal,,32,1.0,elliptic,,
T1-SD1,seta,T1,SD1,SD,subdorsal,,70,1.0,parabolic,,
T1-SD2,seta,T1,SD2,SD,subdorsal,,74,0.4,parabolic,,
T1-L2,seta,T1,L2,L,lateral,,90,0.6,hyperbolic,,
T1-L1,seta,T1,L1,L,lateral,,108,1.0,hyperbolic,,
T1-SV1,seta,T1,SV1,SV,ventral,,140,0.8,flat,,
T1-SV2,seta,T1,SV2,SV,ventral,,132,0.5,flat,,
T1-V1,seta,T1,V1,V,ventral,,172,0.4,flat,,
T2-D1,seta,T2,D1,D,dorsal,,18,0.7,elliptic,,
T2-D2,seta,T2,D2,D,dorsal,,34,1.0,elliptic,,
T2-SD1,seta,T2,SD1,SD,subdorsal,,70,1.0,parabolic,,
T2-SD2,seta,T2,SD2,SD,subdorsal,,76,0.3,parabolic,,
T2-L2,seta,T2,L2,L,lateral,,90,0.6,hyperbolic,,
T2-L1,seta,T2,L1,L,lateral,,108,1.0,hyperbolic,,
T2-L3,seta,T2,L3,L,lateral,,118,0.5,hyperbolic,,
T2-SV1,seta,T2,SV1,SV,ventral,,142,0.7,flat,,
T2-V1,seta,T2,V1,V,ventral,,172,0.4,flat,,
A3-D1,seta,A3,D1,D,dorsal,,18,0.6,elliptic,,
A3-D2,seta,A3,D2,D,dorsal,,36,1.0,elliptic,,
A3-SD1,seta,A3,SD1,SD,subdorsal,,72,1.0,parabolic,,
A3-L3,seta,A3,L3,L,lateral,,118,0.5,hyperbolic,,
A3-L1,seta,A3,L1,L,lateral,,130,1.0,hyperbolic,,
A3-SV1,seta,A3,SV1,SV,ventral,,148,0.7,flat,,
A3-V1,seta,A3,V1,V,ventral,,170,0.4,flat,,
A3-sp,spiracle,A3,spiracle1,spiracle,lateral,,95,0.3,parabolic,,
A4-D1,seta,A4,D1,D,dorsal,,18,0.6,elliptic,,
A4-D2,seta,A4,D2,D,dorsal,,36,1.0,elliptic,,
A4-SD1,seta,A4,SD1,SD,subdorsal,,72,1.0,parabolic,,
A4-L3,seta,A4,L3,L,lateral,,118,0.5,hyperbolic,,
A4-L1,seta,A4,L1,L,lateral,,130,1.0,hyperbolic,,
A4-SV1,seta,A4,SV1,SV,ventral,,148,0.7,flat,,
A4-V1,seta,A4,V1,V,ventral,,170,0.4,flat,,
A4-sp,spiracle,A4,spiracle1,spiracle,lateral,,95,0.3,parabolic,,
A5-D1,seta,A5,D1,D,dorsal,,18,0.6,elliptic,,
A5-D2,seta,A5,D2,D,dorsal,,36,1.0,elliptic,,
A5-SD1,seta,A5,SD1,SD,subdorsal,,72,1.0,parabolic,,
A5-L3,seta,A5,L3,L,lateral,,118,0.5,hyperbolic,,
A5-L1,seta,A5,L1,L,lateral,,130,1.0,hyperbolic,,
A5-SV1,seta,A5,SV1,SV,ventral,,148,0.7,flat,,
A5-V1,seta,A5,V1,V,ventral,,170,0.4,flat,,
A5-sp,spiracle,A5,spiracle1,spiracle,lateral,,95,0.3,parabolic,,
A6-D1,seta,A6,D1,D,dorsal,,18,0.6,elliptic,,
A6-D2,seta,A6,D2,D,dorsal,,36,1.0,elliptic,,
A6-SD1,seta,A6,SD1,SD,subdorsal,,72,1.0,parabolic,,
A6-L3,seta,A6,L3,L,lateral,,118,0.5,hyperbolic,,
A6-L1,seta,A6,L1,L,lateral,,130,1.0,hyperbolic,,
A6-SV1,seta,A6,SV1,SV,ventral,,148,0.7,flat,,
A6-V1,seta,A6,V1,V,ventral,,170,0.4,flat,,
A6-sp,spiracle,A6,spiracle1,spiracle,lateral,,95,0.3,parabolic,,
