id,kind,segment,seta,group,chart,s,phi_deg,amplitude,section,width,psi
# Hand protractor on Scott 2020 Papilio N.S. 32 Fig. 34 (D. plexippus L1 unroll).
# φ=0 middorsal, φ=180 midventral. Reading ±5°. Not Hinton-nominal angles.
# T2/A8 tentacles are subdorsal (TD2), not middorsal.
T1-XD1,seta,T1,XD1,XD,dorsal,,10,0.8,elliptic,,
T1-XD2,seta,T1,XD2,XD,dorsal,,24,0.8,elliptic,,
T1-D1,seta,T1,D1,D,dorsal,,12,0.7,elliptic,,
T1-D2,seta,T1,D2,D,dorsal,,22,1.0,elliptic,,
T1-SD1,seta,T1,SD1,SD,subdorsal,,52,1.0,parabolic,,
T1-SD2,seta,T1,SD2,SD,subdorsal,,60,0.4,parabolic,,
T1-L1,seta,T1,L1,L,lateral,,95,1.0,hyperbolic,,
T1-L2,seta,T1,L2,L,lateral,,78,0.6,hyperbolic,,
T1-SV1,seta,T1,SV1,SV,ventral,,138,0.8,flat,,
T1-SV2,seta,T1,SV2,SV,ventral,,148,0.5,flat,,
T1-V1,seta,T1,V1,V,ventral,,172,0.4,flat,,
T2-D1,seta,T2,D1,D,dorsal,,12,0.7,elliptic,,
T2-D2,seta,T2,D2,D,dorsal,,24,1.0,elliptic,,
T2-SD1,seta,T2,SD1,SD,subdorsal,,46,1.0,parabolic,,
T2-SD2,seta,T2,SD2,SD,subdorsal,,58,0.3,parabolic,,
T2-L1,seta,T2,L1,L,lateral,,94,1.0,hyperbolic,,
T2-L2,seta,T2,L2,L,lateral,,108,0.6,hyperbolic,,
T2-L3,seta,T2,L3,L,lateral,,114,0.5,hyperbolic,,
T2-SV1,seta,T2,SV1,SV,ventral,,140,0.7,flat,,
T2-V1,seta,T2,V1,V,ventral,,172,0.4,flat,,
T2-TD2,tentacle,T2,tentacle1,SD,subdorsal,,32,1.0,parabolic,,
A3-D1,seta,A3,D1,D,dorsal,,12,0.6,elliptic,,
A3-D2,seta,A3,D2,D,dorsal,,26,1.0,elliptic,,
A3-SD1,seta,A3,SD1,SD,subdorsal,,48,1.0,parabolic,,
A3-L1,seta,A3,L1,L,lateral,,98,1.0,hyperbolic,,
A3-L2,seta,A3,L2,L,lateral,,108,0.6,hyperbolic,,
A3-L3,seta,A3,L3,L,lateral,,116,0.5,hyperbolic,,
A3-SV1,seta,A3,SV1,SV,ventral,,138,0.7,flat,,
A3-SV2,seta,A3,SV2,SV,ventral,,152,0.5,flat,,
A3-SV3,seta,A3,SV3,SV,ventral,,162,0.4,flat,,
A3-V1,seta,A3,V1,V,ventral,,172,0.4,flat,,
A3-sp,spiracle,A3,spiracle1,spiracle,lateral,,82,0.3,parabolic,,
A4-D1,seta,A4,D1,D,dorsal,,12,0.6,elliptic,,
A4-D2,seta,A4,D2,D,dorsal,,26,1.0,elliptic,,
A4-SD1,seta,A4,SD1,SD,subdorsal,,48,1.0,parabolic,,
A4-L1,seta,A4,L1,L,lateral,,98,1.0,hyperbolic,,
A4-L2,seta,A4,L2,L,lateral,,108,0.6,hyperbolic,,
A4-L3,seta,A4,L3,L,lateral,,116,0.5,hyperbolic,,
A4-SV1,seta,A4,SV1,SV,ventral,,138,0.7,flat,,
A4-SV2,seta,A4,SV2,SV,ventral,,152,0.5,flat,,
A4-SV3,seta,A4,SV3,SV,ventral,,162,0.4,flat,,
A4-V1,seta,A4,V1,V,ventral,,172,0.4,flat,,
A4-sp,spiracle,A4,spiracle1,spiracle,lateral,,82,0.3,parabolic,,
A5-D1,seta,A5,D1,D,dorsal,,12,0.6,elliptic,,
A5-D2,seta,A5,D2,D,dorsal,,26,1.0,elliptic,,
A5-SD1,seta,A5,SD1,SD,subdorsal,,48,1.0,parabolic,,
A5-L1,seta,A5,L1,L,lateral,,98,1.0,hyperbolic,,
A5-L2,seta,A5,L2,L,lateral,,108,0.6,hyperbolic,,
A5-L3,seta,A5,L3,L,lateral,,116,0.5,hyperbolic,,
A5-SV1,seta,A5,SV1,SV,ventral,,138,0.7,flat,,
A5-SV2,seta,A5,SV2,SV,ventral,,152,0.5,flat,,
A5-SV3,seta,A5,SV3,SV,ventral,,162,0.4,flat,,
A5-V1,seta,A5,V1,V,ventral,,172,0.4,flat,,
A5-sp,spiracle,A5,spiracle1,spiracle,lateral,,82,0.3,parabolic,,
A6-D1,seta,A6,D1,D,dorsal,,12,0.6,elliptic,,
A6-D2,seta,A6,D2,D,dorsal,,26,1.0,elliptic,,
A6-SD1,seta,A6,SD1,SD,subdorsal,,48,1.0,parabolic,,
A6-L1,seta,A6,L1,L,lateral,,98,1.0,hyperbolic,,
A6-L2,seta,A6,L2,L,lateral,,108,0.6,hyperbolic,,
A6-L3,seta,A6,L3,L,lateral,,116,0.5,hyperbolic,,
A6-SV1,seta,A6,SV1,SV,ventral,,138,0.7,flat,,
A6-SV2,seta,A6,SV2,SV,ventral,,152,0.5,flat,,
A6-SV3,seta,A6,SV3,SV,ventral,,162,0.4,flat,,
A6-V1,seta,A6,V1,V,ventral,,172,0.4,flat,,
A6-sp,spiracle,A6,spiracle1,spiracle,lateral,,82,0.3,parabolic,,
A8-TD2,tentacle,A8,tentacle1,SD,subdorsal,,32,0.7,parabolic,,
